,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_period_by_year,num_services,charge_group
32268,m,0,No,No,3.0,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,116.83,350.49,No,0 - 1 year,4,High
32269,m,0,Yes,No,44.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.45,2307.8,Yes,2 - 4 year,2,Medium
32270,m,0,unkown,Yes,6.0,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,58.74,352.44,No,0 - 1 year,1,Medium
32271,m,0,Yes,No,24.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,41.73,1001.52,Yes,1 - 2 year,2,Low
32272,f,0,No,No,44.0,No,No phone service,DSL,No,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,21.81,959.64,No,2 - 4 year,0,Low
32273,m,0,No,No,34.0,No,No phone service,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),107.21,3645.14,Yes,2 - 4 year,2,High
32274,m,1,Yes,No,65.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.66,3682.9,No,4+ years,2,Medium
32275,f,0,Yes,No,7.0,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,38.02,266.14,No,0 - 1 year,4,Low
32276,m,0,No,Yes,24.0,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,95.19,2284.56,No,1 - 2 year,1,Medium
32277,f,0,Yes,No,2.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,27.73,55.46,Yes,0 - 1 year,2,Low
32278,m,0,No,No,8.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,82.35,658.8,No,0 - 1 year,2,Medium
32279,m,0,No,Yes,29.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,34.04,987.16,Yes,2 - 4 year,2,Low
32280,m,0,Yes,Yes,41.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,29.92,1226.72,No,2 - 4 year,3,Low
32281,m,0,Yes,Yes,7.0,Yes,Yes,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,23.73,166.11,No,0 - 1 year,2,Low
32282,f,1,No,No,47.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,39.89,1874.83,Yes,2 - 4 year,4,Low
32283,f,0,No,No,45.0,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,22.89,1030.05,No,2 - 4 year,4,Low
32284,m,1,No,No,33.0,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),82.04,2707.32,No,2 - 4 year,0,Medium
32285,m,0,No,No,58.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,35.42,2054.36,Yes,4+ years,3,Low
32286,m,0,No,No,44.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),21.01,924.44,No,2 - 4 year,2,Low
32287,f,0,Yes,No,45.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.35,2085.75,Yes,2 - 4 year,2,Low
32288,m,0,No,No,7.0,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,43.15,302.05,Yes,0 - 1 year,4,Low
32289,m,0,No,No,57.0,Yes,Yes,DSL,Yes,No,No,No,No internet service,No,Month-to-month,No,Electronic check,23.54,1341.78,No,4+ years,3,Low
32290,f,0,No,No,34.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,unkown,114.96,3908.64,Yes,2 - 4 year,4,High
32291,m,1,Yes,No,46.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,32.62,1500.52,Yes,2 - 4 year,3,Low
32292,m,0,Yes,No,48.0,No,No phone service,Fiber optic,No,No,No,Yes,No internet service,No internet service,One year,No,Mailed check,29.23,1403.04,No,2 - 4 year,1,Low
32293,f,0,No,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.46,415.82,No,1 - 2 year,1,Low
32294,m,0,Yes,No,42.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,unkown,106.13,4457.46,No,2 - 4 year,3,High
32295,m,0,No,No,17.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,44.27,752.59,Yes,1 - 2 year,4,Low
32296,m,1,No,No,34.0,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,46.16,1569.44,Yes,2 - 4 year,2,Low
32297,m,0,No,No,9.0,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,19.84,178.56,No,0 - 1 year,3,Low
32298,f,0,Yes,Yes,15.0,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,unkown,101.03,1515.45,Yes,1 - 2 year,1,High
32299,m,0,unkown,No,16.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,32.98,-14.68,Yes,1 - 2 year,3,Low
32300,f,0,No,Yes,37.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,69.83,2583.71,Yes,2 - 4 year,3,Medium
32301,f,1,No,No,36.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,80.3,2890.8,No,2 - 4 year,2,Medium
32302,m,0,No,No,33.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.44,839.52,No,2 - 4 year,2,Low
32303,f,0,No,Yes,15.0,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,26.27,394.05,Yes,1 - 2 year,1,Low
32304,f,0,Yes,Yes,17.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,26.24,446.08,Yes,1 - 2 year,2,Low
32305,m,0,No,No,33.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.39,1233.87,Yes,2 - 4 year,2,Low
32306,m,0,Yes,No,36.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,44.53,1603.08,Yes,2 - 4 year,2,Low
32307,m,0,Yes,Yes,13.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),36.84,478.92,No,1 - 2 year,2,Low
32308,m,0,No,No,19.0,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,22.63,429.97,No,1 - 2 year,2,Low
32309,f,0,No,No,17.0,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),74.04,1258.68,Yes,1 - 2 year,3,Medium
32310,m,0,No,Yes,19.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,22.85,434.15,No,1 - 2 year,5,Low
32311,m,1,Yes,No,43.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,83.34,3583.62,Yes,2 - 4 year,3,Medium
32312,f,1,Yes,No,5.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.7,238.5,Yes,0 - 1 year,2,Low
32313,m,0,Yes,No,15.0,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,24.45,366.75,No,1 - 2 year,4,Low
32314,m,0,No,No,20.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.95,659.0,No,1 - 2 year,1,Low
32315,m,0,Yes,Yes,44.0,Yes,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,24.01,1056.44,No,2 - 4 year,2,Low
32316,unkown,1,No,No,35.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),47.85,1674.75,No,2 - 4 year,3,Low
32317,m,0,No,No,8.0,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,28.89,231.12,No,0 - 1 year,1,Low
32318,f,1,No,Yes,2.0,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),32.3,64.6,Yes,0 - 1 year,4,Low
32319,f,1,Yes,Yes,15.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.97,284.55,Yes,1 - 2 year,1,Low
32320,f,1,unkown,Yes,48.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,105.64,5070.72,No,2 - 4 year,2,High
32321,f,0,No,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,112.09,1905.53,No,1 - 2 year,1,High
32322,f,0,Yes,No,28.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,39.7,1111.6,Yes,2 - 4 year,1,Low
32323,m,0,No,Yes,11.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),50.56,556.16,No,0 - 1 year,2,Medium
32324,m,0,Yes,No,40.0,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,One year,Yes,Credit card (automatic),21.94,877.6,No,2 - 4 year,3,Low
32325,m,1,Yes,No,12.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.13,985.56,Yes,0 - 1 year,0,Medium
32326,m,0,No,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),32.3,1550.4,No,2 - 4 year,1,Low
32327,m,0,No,Yes,7.0,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,49.22,344.54,No,0 - 1 year,3,Low
32328,f,0,No,No,10.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22.51,0.0,Yes,0 - 1 year,6,Low
32329,f,1,No,No,31.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,38.32,1187.92,Yes,2 - 4 year,3,Low
32330,f,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),74.11,74.11,No,0 - 1 year,4,Medium
32331,m,0,Yes,No,13.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,59.07,767.91,No,1 - 2 year,3,Medium
32332,f,1,No,No,6.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,unkown,44.64,267.84,Yes,0 - 1 year,4,Low
32333,f,0,No,No,8.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.5,588.0,No,0 - 1 year,1,Medium
32334,m,0,No,Yes,19.0,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,116.72,2217.68,Yes,1 - 2 year,4,High
32335,m,0,unkown,Yes,5.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,31.71,158.55,No,0 - 1 year,6,Low
32336,m,0,Yes,Yes,8.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.69,253.52,No,0 - 1 year,2,Low
32337,f,0,Yes,No,999.0,Yes,No,Fiber optic,No,No internet service,No,Yes,No,No,One year,Yes,Electronic check,24.4,24375.6,No,4+ years,2,Low
32338,m,0,Yes,No,42.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,unkown,27.41,1151.22,Yes,2 - 4 year,3,Low
32339,m,0,No,No,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),99.28,4765.44,No,2 - 4 year,1,Medium
32340,m,0,No,No,10.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),46.34,463.4,Yes,0 - 1 year,5,Low
32341,m,0,Yes,Yes,12.0,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),38.38,460.56,Yes,0 - 1 year,0,Low
32342,m,0,No,No,18.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,102.22,1839.96,Yes,1 - 2 year,3,High
32343,f,0,Yes,No,23.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,633.85,14578.55,No,1 - 2 year,3,Very High
32344,m,0,No,No,22.0,Yes,No,DSL,No,No,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),80.52,1771.44,No,1 - 2 year,1,Medium
32345,f,0,unkown,No,15.0,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,19.89,298.35,Yes,1 - 2 year,3,Low
32346,f,0,Yes,Yes,27.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,unkown,33.62,907.74,Yes,2 - 4 year,2,Low
32347,f,1,No,No,22.0,No,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,39.05,859.1,Yes,1 - 2 year,2,Low
32348,m,0,Yes,No,8.0,No,No phone service,Fiber optic,Yes,No,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),18.56,148.48,No,0 - 1 year,1,Low
32349,f,0,Yes,Yes,1.0,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,20.87,20.87,No,0 - 1 year,2,Low
32350,m,0,Yes,No,36.0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,108.84,3918.24,Yes,2 - 4 year,4,High
32351,unkown,0,Yes,No,38.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,42.57,1617.66,No,2 - 4 year,3,Low
32352,m,0,No,Yes,5.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.02,240.1,Yes,0 - 1 year,2,Low
32353,f,0,No,Yes,45.0,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Electronic check,110.66,4979.7,No,2 - 4 year,2,High
32354,m,0,No,Yes,44.0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),21.21,933.24,No,2 - 4 year,3,Low
32355,f,1,Yes,No,5.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,100.77,0.0,No,0 - 1 year,4,High
32356,m,0,Yes,Yes,2.0,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,1090.43,2180.86,No,0 - 1 year,2,Very High
32357,m,0,No,No,11.0,No,No phone service,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,20.21,222.31,Yes,0 - 1 year,0,Low
32358,f,0,No,No,34.0,No,No phone service,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Electronic check,49.58,1685.72,No,2 - 4 year,0,Low
32359,f,0,No,No,23.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,34.58,795.34,Yes,1 - 2 year,4,Low
32360,m,0,Yes,No,16.0,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,29.0,464.0,No,1 - 2 year,3,Low
32361,f,0,unkown,No,31.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),36.09,1118.79,Yes,2 - 4 year,1,Low
32362,f,0,Yes,No,45.0,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No,One year,Yes,Credit card (automatic),54.41,2448.45,No,2 - 4 year,3,Medium
32363,f,0,Yes,Yes,39.0,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),72.39,2823.21,No,2 - 4 year,2,Medium
32364,m,1,No,Yes,3.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,37.06,111.18,No,0 - 1 year,3,Low
32365,f,0,Yes,No,23.0,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,56.83,1307.09,No,1 - 2 year,1,Medium
32366,f,0,No,Yes,23.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.54,472.42,Yes,1 - 2 year,2,Low
32367,f,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),35.25,35.25,Yes,0 - 1 year,3,Low
32368,f,0,No,No,36.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),103.85,3738.6,Yes,2 - 4 year,2,High
32369,m,0,unkown,Yes,20.0,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),20.97,419.4,No,1 - 2 year,3,Low
32370,f,0,No,Yes,18.0,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.1,1495.8,No,1 - 2 year,3,Medium
32371,m,0,Yes,No,23.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,117.29,2697.67,No,1 - 2 year,3,High
32372,m,1,No,Yes,35.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.65,2577.75,Yes,2 - 4 year,3,Medium
32373,f,0,No,Yes,46.0,Yes,Yes,DSL,Yes,No,No,No internet service,No,Yes,One year,Yes,Mailed check,38.05,1750.3,No,2 - 4 year,4,Low
32374,f,1,Yes,No,31.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),962.99,29852.69,No,2 - 4 year,4,Very High
32375,f,0,No,Yes,14.0,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),41.26,577.64,No,1 - 2 year,2,Low
32376,m,0,No,No,11.0,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),36.33,399.63,Yes,0 - 1 year,0,Low
32377,m,1,No,Yes,13.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,106.36,1382.68,Yes,1 - 2 year,2,High
32378,m,1,No,No,19.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,unkown,41.12,781.28,Yes,1 - 2 year,3,Low
32379,m,1,No,Yes,35.0,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,21.0,735.0,Yes,2 - 4 year,3,Low
32380,f,0,Yes,No,24.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),50.04,1200.96,No,1 - 2 year,2,Medium
32381,m,0,Yes,No,44.0,Yes,unkown,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,24.94,1097.36,Yes,2 - 4 year,2,Low
32382,f,0,No,No,13.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.08,352.04,No,1 - 2 year,2,Low
32383,m,0,No,No,13.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,27.33,355.29,No,1 - 2 year,1,Low
32384,m,1,No,No,58.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.81,1786.98,Yes,4+ years,2,Low
32385,m,1,No,No,7.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.81,369.67,Yes,0 - 1 year,2,Medium
32386,m,1,unkown,No,14.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,22.34,312.76,No,1 - 2 year,3,Low
32387,m,0,Yes,No,26.0,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,22.0,572.0,No,2 - 4 year,2,Low
32388,m,1,Yes,Yes,26.0,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),31.53,819.78,No,2 - 4 year,2,Low
32389,m,0,No,Yes,16.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,102.3,1636.8,Yes,1 - 2 year,4,High
32390,f,0,No,No,47.0,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,27.48,1291.56,Yes,2 - 4 year,2,Low
32391,f,0,Yes,Yes,23.0,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),69.02,1587.46,Yes,1 - 2 year,2,Medium
32392,m,0,No,No,2.0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,31.26,62.52,No,0 - 1 year,3,Low
32393,m,1,No,No,21.0,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,unkown,37.69,791.49,Yes,1 - 2 year,2,Low
32394,m,0,Yes,Yes,22.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.92,1846.24,Yes,1 - 2 year,2,Medium
32395,m,0,unkown,Yes,16.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,49.96,799.36,No,1 - 2 year,3,Low
32396,m,1,No,No,6.0,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,21.15,126.9,No,0 - 1 year,1,Low
32397,m,0,No,No,3.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,116.96,350.88,Yes,0 - 1 year,1,High
32398,f,0,Yes,Yes,19.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.21,934.99,Yes,1 - 2 year,2,Low
32399,m,0,Yes,No,36.0,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No,One year,Yes,Electronic check,45.26,1629.36,Yes,2 - 4 year,2,Low
32400,f,1,No,No,48.0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,35.85,1720.8,No,2 - 4 year,3,Low
32401,f,0,Yes,No,15.0,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Two year,No,Mailed check,80.65,1209.75,No,1 - 2 year,3,Medium
32402,m,0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,47.03,47.03,Yes,0 - 1 year,2,Low
32403,f,0,No,No,16.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),99.57,1593.12,Yes,1 - 2 year,2,Medium
32404,f,0,No,No,23.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,30.62,704.26,No,1 - 2 year,2,Low
32405,f,1,No,No,27.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,36.22,977.94,No,2 - 4 year,3,Low
32406,m,0,unkown,Yes,25.0,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),24.36,609.0,No,2 - 4 year,5,Low
32407,m,0,No,No,6.0,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),47.71,286.26,No,0 - 1 year,2,Low
32408,m,1,No,No,10.0,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,BANK TRANSFER,46.75,0.0,No,0 - 1 year,2,Low
32409,unkown,0,No,Yes,17.0,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.6,843.2,Yes,1 - 2 year,1,Low
32410,f,1,Yes,Yes,6.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),32.72,196.32,Yes,0 - 1 year,3,Low
32411,m,1,No,No,46.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),42.78,1967.88,Yes,2 - 4 year,3,Low
32412,f,0,Yes,No,34.0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),40.99,1393.66,No,2 - 4 year,4,Low
32413,f,0,Yes,Yes,38.0,Yes,No,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.07,1864.66,Yes,2 - 4 year,3,Low
32414,f,1,No,Yes,13.0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,58.64,762.32,No,1 - 2 year,4,Medium
32415,f,0,No,No,22.0,No,No phone service,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),28.6,629.2,No,1 - 2 year,2,Low
32416,m,0,No,Yes,31.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,27.42,850.02,No,2 - 4 year,4,Low
32417,m,0,No,No,44.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,20.94,921.36,No,2 - 4 year,4,Low
32418,m,0,No,No,41.0,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),60.96,2499.36,Yes,2 - 4 year,5,Medium
32419,f,0,Yes,No,36.0,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),50.27,1809.72,No,2 - 4 year,3,Medium
32420,m,0,No,No,5.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),90.51,452.55,Yes,0 - 1 year,3,Medium
32421,f,0,Yes,Yes,25.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),25.42,635.5,Yes,2 - 4 year,2,Low
32422,f,0,No,Yes,41.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),30.02,1230.82,No,2 - 4 year,3,Low
32423,f,1,unkown,No,12.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.05,348.6,No,0 - 1 year,2,Low
32424,m,0,Yes,Yes,48.0,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,No,unkown,86.35,4144.8,No,2 - 4 year,4,Medium
